TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
14.089999999999973,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,Lansia,1
376.2400000000001,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,Lansia,0
126.29000000000012,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,Anak Muda,0
184.5000000000001,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,Golden Age,1
13.449999999999811,Credit,Atlanta,Online,45.0,Student,198.0,1.0,7429.4,Orang Tua,2
92.1500000000001,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,Anak Muda,0
7.0800000000001555,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,Golden Age,1
171.41999999999985,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,Lansia,0
106.22999999999985,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,Orang Tua,2
815.9599999999995,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,Orang Tua,0
17.78000000000007,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,Orang Tua,2
190.01999999999992,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,Anak Muda,0
494.5200000000001,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,Anak Muda,0
781.7599999999998,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,Golden Age,0
166.98999999999984,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,Anak Muda,0
465.4499999999998,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,Golden Age,2
555.8000000000001,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,Anak Muda,2
492.92999999999995,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,Golden Age,2
18.67999999999979,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,Orang Tua,2
71.47999999999995,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,Anak Muda,2
59.31999999999985,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,Lansia,0
85.7699999999998,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,Golden Age,0
52.200000000000074,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,Golden Age,2
345.8400000000001,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,Anak Muda,2
145.54000000000016,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,Anak Muda,1
7.490000000000166,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,Orang Tua,0
246.92999999999995,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.3499999999999,Anak Muda,0
